TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
"TIME TO KILL, A",A TIME TO KILL,APPROVED,APPROVED USE OF MISSISSIPPI NATIONAL GUARD FOR A FEW DAYS TO ENACT RIOT-PREVENTION EFFORTS IN SMALL SOUTHERN TOWN (FICTIONAL DRAMA),,,,,,TRUE,1996,7/24/1996,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",Nominated for 1 Golden Globe. Another 7 wins & 11 nominations.,TRUE,USA,Joel Schumacher,"Crime, Drama, Thriller","In Canton, Mississippi, 10-year-old Tonya Hailey is viciously brutalized by two white racist rednecks -- James Louis ""Pete"" Willard and Billy Ray Cobb. Almost immediately after Tonya is found and rushed to a hospital, Pete and Billy Ray are found at a roadside bar, where they had been bragging about what they did to Tonya. Tonya's understandably distraught and enraged father, Carl Lee Hailey, remembers a case from a year ago, when four white men raped an African-American girl in a nearby town, and got acquitted. Carl is determined to not let that happen in this case. While deputy Dwayne Powell Looney is escorting Pete and Billy Ray up a flight of stairs to a court room, Carl emerges from the building's basement with an assault rifle, and he kills Pete and Billy Ray for what they did to Tonya. Carl is later arrested at his house by African-American sheriff Ozzie Walls, and Carl is scheduled to be placed on trial. Despite the efforts of the NAACP and local African-American leaders to persuade Carl to choose some of their high-powered attorneys, Carl wants to be represented by his friend Jake Tyler Brigance, who has a wife named Carla and a daughter named Hannah. Presiding over the trial is white judge Omar Noose, and the prosecution attorney is Rufus Buckley, who would like nothing more than to win the case and swim in the publicity that a win would generate, because Rufus realizes that a murder conviction could help him gain higher office. Helping Jake on the case are his former law professor Lucien Wilbanks, fellow attorney Harry Rex Vonner, and law student Ellen Roark. Ellen has had experience with death penalty cases, and that's exactly what Rufus may be seeking. To start things off, Noose denies bail and denies Jake's petition for a change of venue. Carl has also been fired from his job. Billy Ray Cobb's brother Freddie Lee Cobb wants revenge on Carl, so Freddy gets the help of the Mississippi branch of the KKK, led by Mississippi grand dragon Stump Sisson. Carl's wife Gwen tells Carl that a doctor has said that because of Pete and Billy Ray, Tonya's reproductive organs are damaged enough to where she won't be able to have kids when she grows up. That night, a KKK member is found trying to plant a bomb under Jake's porch. Jake's secretary Ethel Twitty and her husband Bud are also attacked by the KKK. Still, Jake, Harry, Lucien, and Ellen continue to help Carl. On the day the trial begins, there is a riot outside the court building between the KKK and the area's African-American residents, and Stump Sisson is killed by a molotov cocktail that was dropped from a roof by one of Carl's sons, who was not seen dropping it. Freddy and the KKK start burning crosses throughout Canton, and one of the crosses burns Jake's house down while Jake and his family are not home. As a result, the National Guard is called to Canton to keep the peace during the trial. But Freddy is not about to let that stop him. While Freddy continues his efforts to get revenge on Carl for Billy Ray's death, Carl's attorneys put everything they've got into Carl's defense.",https://m.media-amazon.com/images/M/MV5BOWExZTg4ZWYtOTQxMi00YWZkLTkxYzgtOTg1MTUxNzNiNDcxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,,149,A Time to Kill,67%,54,7.5,tt0117913,"129,293"
AMERICAN GUERRILLA IN THE PHILIPPINES,AMERICAN GUERRILLA IN THE PHILIPPINES,LIMITED,NAVY PROVIDED A SHIP FOR A BRIEF SEQUENCE AT THE END OF THE FILM WHEN HERO IS RESCUED FROM HIDING PLACE.,,,,,,TRUE,1950,11/8/1950,"Tyrone Power, Micheline Presle, Tom Ewell, Robert Patten",,FALSE,USA,Fritz Lang,"Drama, War","In the spring of 1942, following the blockade-run that took General Douglas MacArthur and his staff from the Philippines to the safety of Australia, the survivors of a bombed-and-sunk PT Boat make their way to shore. The skipper tells his men they have top priority passes if they can make their way to Del Monte airfield 200 miles away, and advises them to split up into pairs. Ensign Chuck Palmer and crewman Jim Mitchell finally reach Tacloban on the island of Leyte. In an American mission school, Palmer meets Jeanne Martinez, who is urgently trying to see the officer in charge with a request for help for a relative, and he also learns that the Japanese have captured the airfield. Palmer tries to make Australia by a boat that sinks in a tropical storm and has to swim for shore. All through 1942, Palmer and the other survivors dodge enemy patrols while living off of the land.",https://m.media-amazon.com/images/M/MV5BMTA1NzcwMzgtMzM3My00OWIwLTg1NmEtY2QxZjYyOTM2ZmUwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Approved,Korean War,105,American Guerrilla in the Philippines,67%,,6.1,tt0042195,969
LOOSE CANNONS,LOOSE CANNONS,DENIED,"NAVY DENIED THE FILM FINDING IT NO BENEFIT TO THE US NAVY. REQUEST TO FILM AT NAVAL INSTALLATION, WAS TURNED DOWN.",,,,,,TRUE,1990,2/9/1990,"Dan Aykroyd, Gene Hackman, Dom DeLuise, Ronny Cox",,FALSE,USA,Bob Clark,"Action, Comedy, Crime, Thriller","Mac, the two fisted savy cop finds that he's being saddled with a new partner, a known burn out, to work with him on a new and difficult case. The new partner is, Ellis, an amazing detective, one who puts Sherlock Holmes to shame with his lightning fast deductions. Ellis has a couple of problems. He keeps assuming the personalities of entire casts of Television shows. This can be a problem when people begin shooting at them.",https://m.media-amazon.com/images/M/MV5BYjUzYmE3NzYtNWFhYy00MWIwLWI3NGQtYjI4NWZkOTUyY2EwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,R,,94,Loose Cannons,0%,,4.9,tt0100053,"4,332"
HEALTH CLUB,HEALTH CLUB,APPROVED,"THE SCRIPT WAS DIRECTED TO THE NATIONAL GUARD BUREAU FOR APPROVAL AND IN TURN, APPROVED. NO RECORD OF MOVIE BEING MADE",,,,,,FALSE,,,,,,,,,,,,,,,,,,,
"DEEP SIX, THE",THE DEEP SIX,APPROVED,NAVY PROVIDED FULL COOPERATION ON FILM ABOUT A QUAKER IN THE SERVICE WHO BECOMES A HERD AFTER EARLY INABILITY TO FIGHT.,,,,,,TRUE,1958,3/9/1958,"Alan Ladd, Dianne Foster, William Bendix, Keenan Wynn",,FALSE,USA,Rudolph Mat̩,"Drama, War","The conflict between duty and conscience is explored in this WWII drama. Alan Ladd stars as Naval gunnery sergeant Alec Austin, a Quaker whose sincere pacifist sentiments do not sit well with his crew members. When he refuses to fire upon an unidentified plane, the word spreads that Austin cannot be relied upon in battle (never mind that the plane turns out to be one of ours).",https://m.media-amazon.com/images/M/MV5BNTQzZjFmNTAtNTkzNS00OTM5LTgzNTEtOWVlNWM0NGZmMGU4XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Vietnam War,105,The Deep Six,,,6.1,tt0050298,352
HANOI - RELEASE JOHN NASMYTH,HANOI - RELEASE JOHN NASMYTH,APPROVED,STOCK FOOTAGE AND AIRCRAFT WAS APPROVED FOR USE AT NO ADDITIONAL COST TO THE GOVERNMENT. NO RECORD OF FILMING BEING MADE.,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
ABOVE AND BEYOND,ABOVE AND BEYOND,APPROVED,"STORY OF PAUL TIBBETS AND THE ATOMIC BOMB MISSION OVER HIROSHIMA. FULL COOPERATION IN THE FORM OF B-295, MEN, AND LOCATIONS",,,,,,TRUE,1952,1/2/1953,"Robert Taylor, Eleanor Parker, James Whitmore, Larry Keating",Nominated for 2 Oscars. Another 1 win & 2 nominations.,TRUE,USA,"Melvin Frank, Norman Panama","Action, Biography, Drama, War","The story of Colonel Paul Tibbets, the pilot of the Enola Gay, the bomber that dropped the atomic bomb on Hiroshima. Although unaware of the full potential of this new weapon, he knows that it is capable of doing tremendously more damage than any other weapon used before, and that the death toll resulting from it will be enormous. He is reluctant to be the person who will end so many lives, but if using it may bring an end to the war, then not doing so may result in even more lives being lost in continued ground assaults as the fighting goes on. At the same time, the intense secrecy surrounding this mission leaves him with no one he can express his thoughts and doubts to, not even his wife. As time goes on, the pressure upon him only increase.",https://m.media-amazon.com/images/M/MV5BYTQyODVkY2EtNDc2Yi00ODUyLTk2NjgtYzE5YmVmMzczYmIzL2ltYWdlXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,Approved,Korean War,122,Above and Beyond,67%,,6.9,tt0044324,976
WAR PARTY,WAR PARTY,OTHER,THE COMPANY WENT ON THEIR OWN AND WITHDREW REQUEST FOR DOD ASSISTANCE. CALVARY AND INDIAN FILM WITH NO BASIS FOR ASSISTANCE,,,,,,TRUE,1988,9/29/1989,"Billy Wirth, Kevin Dillon, Tim Sampson, Jimmie Ray Weeks",,FALSE,USA,Franc Roddam,"Action, Drama","A group of re-enactors attempt to stage a hundred year anniversary battle between US Cavalry and Blackfeet Indians. Unfortunately racial hostilities and a real gun lead to some all too real casualties, and three young Blackfeet men are caught in the middle. The film follows their flight for freedom in the face of an angry community which has mistakenly blamed them for the violence.",https://m.media-amazon.com/images/M/MV5BMTgxOTkzODczNV5BMl5BanBnXkFtZTcwMjY2Mjg4NA@@._V1_SX300.jpg,R,,97,War Party,0%,,6.4,tt0098619,548
INCHON,INCHON,APPROVED,"ARMY, NAVY, AND MARINES APPROVED PROJECT. MUCH ASSISTANCE PROVIDED. MAY 4 WAS PREMIERE AT THE KENNEDY CENTER. REVIEWED ON MAY 6.",,,,,,TRUE,1981,9/17/1982,"Laurence Olivier, Jacqueline Bisset, Ben Gazzara, Toshir̫ Mifune",5 wins & 1 nomination.,TRUE,"South Korea, USA",Terence Young,"Drama, History, War","During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950.",https://m.media-amazon.com/images/M/MV5BYWYwYzE3YzAtN2VhMS00NDAxLWI2ZDUtMTRkNzE0Mzg3MmJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTM3NzQ5NzQ@._V1_SX300.jpg,PG,,140,Inchon,0%,,2.5,tt0084132,641
RETURN TO IWO JIMA,RETURN TO IWO JIMA,APPROVED,IN THE BEST INTEREST OF THE SERVICES. THE DOCUMENTARY WAS FACTUAL AND VERY POSITIVE FOR THE ARMED FORCES. REQUESTS WERE APPROVED.,,,,,,TRUE,1985,5/27/1985,Ed McMahon,,FALSE,USA,Arnold Shapiro,"Documentary, History, War","On the fortieth anniversary of the battle of Iwo Jima, over three hundred Japanese and American veterans returned to the island together in peace. This documentary follows four Americans and two Japanese as they retrace their memories, exchange stories, and pray that what happened on Iwo Jima will always be remembered and never repeated.",https://images-na.ssl-images-amazon.com/images/I/51lBoQxoXAL._SX342_.jpg,,,58,Return to Iwo Juma,,,,tt9020344,
"TREASURE OF VICTORIO PEAK, THE",THE TREASURE OF VICTORIO PEAK,DENIED,"THE FILM WAS FOUND TO BE NEGATIVE AND POSSIBLY MISLEADING. THE REQUEST FOR PERSONNEL, EQUIPMENT, AND ON SITE LOCATION WAS DENIED.",,,,,,FALSE,,,,,,,,,,,,,,,,,,,
TANK,TANK,APPROVED,"AFTER CONSIDERABLE DISCUSSIONS AND CHANGES IN SCRIPT, DOD FELT THE END RESULT WOULD BE BENEFICIAL FOR THE ARMY AND THE PRODUCTION.",,,,,,TRUE,1984,3/16/1984,"James Garner, Shirley Jones, C. Thomas Howell, Mark Herrier",1 nomination.,TRUE,USA,Marvin J. Chomsky,"Action, Comedy, Drama","Sergeant Major Zak Carey is serving what is his final tour of duty at an Army base in Clemens, Georgia. Zak doesn't like the way the Army keeps the base and the bar is not what he's accustomed to. So he goes off base to get a beer. When he goes to the bar one of the local prostitutes tries to come on to Zak but Zak turns her down. That's when the deputy who appears to be her pimp beating her up. That's when Zak strikes him. Later he learns that the Sheriff is corrupt and takes what happened to the Deputy as an attack on him and tries to get Zak but the Army backs him and Zak is not intimidated. That's when they arrest his son on trumped up drug charges. Before Zak can fix it, his wife tries to get a lawyer for their son but this only pushes the Sheriff to send their son to a prison farm. With no other recourse Zak gets into his own vintage Sherman Tank and busts his son out and they try to make it to the state line so that they can expose the Sheriff.",https://m.media-amazon.com/images/M/MV5BODMwMDI0MjEtZTFmNC00N2Y0LTljMTctNjFlYmFjMGNkMDdhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,,113,Tank,47%,39,5.8,tt0088224,"3,922"
MAJOR PAYNE,MAJOR PAYNE,DENIED,ANOTHER WARRIOR OUT OF BATTLE STORY. PATTON-LIKE MARINE WHO HAS NOTHING TO DO IN PEACETIME. TAKES OVER SCHOOL AND BECOMES HUMANIZED,,,,,,TRUE,1995,3/24/1995,"Damon Wayans, Michael Ironside, Bam Bam Bigelow, Joseph Blaire",,FALSE,USA,Nick Castle,"Adventure, Comedy, Family","Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch or ragtag losers with no hope. Using such teaching tools as live grenades and real bullets, Payne starts to instill the Corps with some hope. But when Payne is recalled to fight in Bosnia, will he leave the Corps that has just started to believe in him, or will he find out that killin' ain't much of a livin'?",https://m.media-amazon.com/images/M/MV5BYWRmNmZmZDYtZTA5NS00MTMwLWI1YTgtOWJkM2IzMmM5YmEwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,PG-13,,95,Major Payne,33%,34,6.3,tt0110443,"30,157"
APOLLO 13,APOLLO 13,APPROVED,"REQUESTED USE OF NAVY SHIP, ETC, TO REENACT CAPSULE RECOVERY AT END OF MISSION. ENTIRELY ACCURATE AND POSITIVE DEPICTIONS ALL AROUND.",,,,,,TRUE,1995,6/30/1995,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Won 2 Oscars. Another 26 wins & 59 nominations.,TRUE,USA,Ron Howard,"Adventure, Drama, History","Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade.",https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,PG,,140,Apollo 13,96%,77,7.6,tt0112384,"263,582"
"FROGMEN, THE",THE FROGMEN,APPROVED,FILM ABOUT THE NAVY'S UNDERWATER DEMOLITION FORCE THAT LATER EVOLVED INTO THE NAVY SEALS. THE SERVICE PROVIDED ITS DIVERS AND LOCALES,,,,,,TRUE,1951,9/8/1951,"Richard Widmark, Dana Andrews, Gary Merrill, Jeffrey Hunter",,FALSE,USA,Lloyd Bacon,"Adventure, Drama, War","World War II drama in which Richard Widmark, as Lt. Cmdr. John Lawrence, replaces the popular commanding officer of a group of underwater demolition divers. a crew of fiercely independent studs who hang their proverbial hats in Davy Jones' locker. The martinet Lawrence tightens the discipline of the unit, making him mucho unpopular with the macho frogmen. Finally, Lawrence proves himself as more than just a stuffed white shirt, showing he has the cojones to keep up with their peculiar brand of the jones, becoming one of the team by fearlessly defusing a live torpedo at the risk of his own life.",https://m.media-amazon.com/images/M/MV5BNTEzZDcyNmQtOTM1NS00MjQ5LTliNjgtN2M3YWRlZDAxZGFlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Korean War,96,The Frogmen,56%,,6.5,tt0043565,"1,049"
WILD AMERICA,WILD AMERICA,APPROVED,"ESSENTIALLY A NON-MILITARY PICTURE, WITH A BRIEF SCENE TAKING PLACE AT AN ARMY HOSPITAL - MINIMAL, BUT REASONABLY ACCURATE & POSITIVE",,,,,,TRUE,1997,7/2/1997,"Jonathan Taylor Thomas, Devon Sawa, Scott Bairstow, Frances Fisher",1 win.,TRUE,USA,William Dear,"Action, Adventure, Comedy, Family","Three brothers - Marshall, Marty and Mark dream of becoming naturalists and portraying animal life of America. One summer their dream comes true, they travel through America, filming alligators, bears and moose.",https://m.media-amazon.com/images/M/MV5BYmI0YjFiMDAtZTJiZC00NDQxLTkxNzEtZGNlNDUzZDA1MDM0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,,106,Wild America,27%,,6.4,tt0120512,"6,703"
BIRTH OF A NATION,BIRTH OF A NATION,APPROVED,THE FIRST GREAT AMERICAN WAR MOVIE. WEST POINT PROVIDED SOME HISTORICAL INFORMATION AND CANNONS TO HELP CREATE A CIVIL WAR BATTLEFIELD,TRUE,2,THE FIRST GREAT AMERICAN WAR MOVIE. WEST POINT PROVIDED SOME HISTORICAL INFORMATION AND CANNONS TO HELP CREATE A CIVIL WAR BATTLEFIELD,TRUE,THE FIRST GREAT AMERICAN WAR MOVIE. WEST POINT PROVIDED SOME HISTORICAL INFORMATION AND CANNONS TO HELP CREATE A CIVIL WAR BATTLEFIELD,TRUE,1915,3/21/1915,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper",2 wins.,TRUE,USA,D.W. Griffith,"Drama, History, War","Two brothers, Phil and Ted Stoneman, visit their friends in Piedmont, South Carolina: the family Cameron. This friendship is affected by the Civil War, as the Stonemans and the Camerons must join up opposite armies. The consequences of the War in their lives are shown in connection to major historical events, like the development of the Civil War itself, Lincoln's assassination, and the birth of the Ku Klux Klan.",https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,TV-PG,World War I,195,The Birth of a Nation,93%,,6.3,tt0004972,"22,214"
FOREVER YOUNG,FOREVER YOUNG,APPROVED,PERMITTED USE OF ARMY RESERVE FACILITY AS BACKGROUND FOR SIMULATED AIR SHOW SEQUENCE; FILM GAVE OPPORTUNITY TO SHOWCASE MILITARY AIR SHOWS.,,,,,,TRUE,1992,12/16/1992,"Mel Gibson, Jamie Lee Curtis, Elijah Wood, Isabel Glasser",,FALSE,USA,Steve Miner,"Drama, Romance, Sci-Fi",A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.,https://m.media-amazon.com/images/M/MV5BYjIzMzYyNzYtMzVjYi00Njg0LThmOTItOGFjMjAyM2IwM2RhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,PG,,102,Forever Young,57%,,6.3,tt0104291,"43,964"
TANK GIRL,TANK GIRL,DENIED,"REQUESTED USE OF MISSILE SILO FOR NONMILITARY ""MAD MAX"" TYPE OF STORY - DID NOT MEET DOD CRITERIA FDR SUPPORT, NO FILE",,,,,,TRUE,1995,3/31/1995,"Lori Petty, Ice-T, Naomi Watts, Don Harvey",,FALSE,"USA, UK",Rachel Talalay,"Action, Comedy, Sci-Fi","Tank Girl (Rebecca) and her friends are the only remaining citizens living in the wasteland that is Earth, where all the remaining water is controlled by Water and Power, the mega corporation/government that runs the territory. While incarcerated at W + P, Tank Girl and her new friend Jet Girl break out and steal... a tank and a jet. After meeting some mutant kangaroo/humans, and rescuing her little girl (adopted by her friends), the kangaroos and the girls kick Water and Powers' butt.",https://m.media-amazon.com/images/M/MV5BMzc0NjBmMzgtMTUxMS00YWFjLTk4NTYtNjE4NTJhOTU3ZTYwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,R,,104,Tank Girl,40%,46,5.4,tt0114614,"29,886"
MAD BEAR ANDERSON,MAD BEAR ANDERSON,DENIED,"THE ARMY DENIED THE FILM, CITING INACCURATE PORTRAYAL OF ARMY AND IT HAD NO INFORMATIONAL VALUE. NO RECORD OF FILM BEING MADE",,,,,,FALSE,,,,,,,,,,,,,,,,,,,
PROJECT X,PROJECT X,DENIED,"NOT BENEFICIAL TO THE US AIR FORCE. REQUEST FOR USE OF HURLBURT FIELD AND PATRICK AFB, FLORIDA ALONG WITH EQUIPMENT WAS DENIED.",,,,,,TRUE,1987,4/17/1987,"Willie, Okko, Karanja, Luke",1 nomination.,TRUE,USA,Jonathan Kaplan,"Comedy, Drama, Sci-Fi, Thriller","A young inductee into the military is given the task of looking after some chimpanzees used in the mysterious ""Project X"". Getting to know the chimps fairly well, he begins to suspect there is more to the secret project than he is being told.",https://m.media-amazon.com/images/M/MV5BYjNlZDRiNTUtZTYyMy00ZWVlLWIwMGUtMmRkZDk3ODhhYzUyXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,PG,,108,Project X,75%,61,6.1,tt0093793,"10,027"
