Title,Subtitle,Status,Year,Remarks,Interesting?
PRIDE OF THE MARINES,,APPROVED,1945,"STORY OF MARINE, AL SCHMIDT, BLINDED DURING FIREFIGHT ON SOUTH PACIFIC ISLAND. RECEIVED MEDAL FOR VALOR. FILM STORY OF HIS REHABILITATION AND ULTIMATELY MARRIAGE TO GIRL BACK HOME. IN FACT, SCHMIDT WAS NOT A HERO. HIS BUDDIES HAD MADE UP STORY BECAUSE OF HIS WOUND. HOWEVER, THE FILM HELPED EXPLAIN TO THE AMERICAN PEOPLE HOW DISABLED SOLDIERS WOULD BE HELPED TO RETURN TO CIVILIAN LIVES.",Y
PRISONER OF WAR,,APPROVED,1954,STORY OF AMERICANS IN NORTH KOREAN PRISON CAMP. ONLY IMPORTANCE OF FILM IS THAT RONALD REAGAN PARACHUTES INTO CAMP TO ASCERTAIN SITUATION. ARMY PROVIDED ASSISTANCE TO CREATE CAMP AND TO PROVIDE MEN AND EQUIPMENT,Y
PRIVATE BENJAMIN,,DENIED,1980,"FILM ASSISTANCE DENIED. CONTAINED NEGATIVE ASPECTS FOR THE ARMY, E.G., UNREALISTIC, FALSE, AND EXAGGERATED INFORMATION AS WELL. ARMY FOCUSED ON FALSE RECRUITING PITCH AND PORTRAYAL OF BASIC TRAINING.",
PROJECT X,,DENIED,1987,"NOT BENEFICIAL TO THE US AIR FORCE. REQUEST FOR USE OF HURLBURT FIELD AND PATRICK AFB, FLORIDA ALONG WITH EQUIPMENT WAS DENIED.",Y
PT-109,,APPROVED,1963,STORY OF JFK AND HIS PT-BOAT SINKING DURING WORLD WAR II. NO GREAT AMOUNT OF HELP SINCE NAVY NO LONGER HAD PT-BOATS AND STUDIO HAD TO BUILD THEM. SOME MEN AND EQUIPMENT PROVIDED FOR PRODUCTION.,
PUPPET MASTERS,,DENIED,1994,"MARK INDIG PROVIDED SCRIPT TO PHIL STRUB INFORMALLY, TO GET HIS OPINION. SINCE IT INVOLVES SLUG- LIKE ALIENS WHO TRY TO TAKE OVER THE HUMAN RACE (AND VANQUISH A LITTLE ARMY ATTEMPT TO DESTROY THEM), STRUB SAID THAT MILITARY ASSISTANCE WAS NOT GOING TO BE FORTHCOMING. PROVIDED INFO TO INDIG OVER THE PHONE ON MAY 24. NO FILE.",y
"PURPLE HEART, THE",,OTHER,1944,THIRD IN TRILOGY ABOUT THE DOOLITTLE RAID. TOTALLY FICTIONAL ACCOUNT OF TRIAL OF EIGHT OF DOOLITTLE'S FLIERS AND THEIR EXECUTION (OFF SCREEN). HELPED WAR EFFORT BY SHOWING EVIL ENEMY. NO ASSISTANCE NEEDED SINCE SHOT ON SOUND STAGE.,Y
PURPLE HEARTS,,LIMITED,1984,"DOD DECLINED REQUEST FOR FILMING ON A NAVY HOSPITAL SHIP. APPEARS THAT TIME PRECLUDED OPPORTUNITY FOR MAKING SCRIPT CHANGES. HOWEVER, THE MARINES DECIDED TO SEND MAJ PAT COULTER AND HIS NEW RELIEF, MAJ FRED PACK, TO THE PHILIPPINES AT PRODUCTION COMPANY EXPENSE, TO SERVE AS TECHNICAL ADVISORS, DESPITE A DOD RULING NOT TO PROVIDE TECHNICAL ADVISORS. ONE OF THE VERY FEW POSITIVE VIETNAM MOVIES EVER MADE TO DATE, THOUGH NO EXPLANATION WHY A NAVY DOCTOR WOULD ACCOMPANY MARINES INTO COMBAT. NO FILE",y
RACE TO SPACE,,APPROVED,2002,"APPROVED FILMING IN AND AROUND HANGARS AND OTHER SITES AT EDWARDS AIR FORCE BASE, CA, FOR APPROXIMATELY 2 WEEKS AND AT A LAUNCH PAD, MUSEUM, AND OTHER SITES AT CAPE CANAVERAL AIR STATION, FL, FOR APPROXIMATELY 1 WEEK. VERY POSITIVE DEPICTION OF AIR FORCE IN THIS FICTIONALIZED DRAMATIZATION OF THE NASA/AIR FORCE PROJECT THAT SENT A MONKEY INTO SPACE, PAVING THE WAY FOR US MANNED SPACE FLIGHT.",
RAISE THE TITANIC,,APPROVED,1980,"AFTER SEVERAL CHANGES AND REVISIONS, THE DEPARTMENT OF THE NAVY SUPPORTED THE FILM. THE DEPARTMENT FELT THE FILM WAS TO BE ADVANTAGEOUS TO NAVY AND DEPARTMENT RECRUITMENT AND RETENTION. ADMIRAL RODNEY HAD GRAVE CONCERNS ABOUT PORTRAYAL OF CONFRONTATION WITH THE SOVIET UNION AND WITH ENDING WHICH SUGGESTED THE GOVERNMENT LIED AND WAS IWO-FACED. ADMIRAL THOUGHT FILMMAKERS WOULD USE HIS ENDING AND WAS VERY ANGRY WHEN THEY DID NOT. STILL FILM SHOWS MILITARY POSITIVELY.",Y
RANDOM HEARTS,,APPROVED,1999,"APPROVED USE OF NAVY SEARCH AND RESCUE PEOPLE AND EQUIPMENT TO ENACT FICTIONAL SAR EFFORTS AT CRASH SITE OF COMMERCIAL AIRCRAFT. MOVIE IS ESSENTIALLY A NON-MILITARY MELODRAMA / MYSTERY, BUT WITH 9-10 MINS OF NAVY COMMERCIAL.",Y
RECOVERY,,DENIED,,"DENIED BECAUSE OF VIOLENCE, STRONG LANGUAGE, AND DOD DID NOT WANT TO COOPERATE ON ANY STORY DEALING WITH THE USMLM AS THE PRIMARY PLOT. REQUEST FOR INSTALLATIONS DENIED. NO RECORD OF FILM BEING MADE. NO FILE",
RED BALL EXPRESS,,APPROVED,1952,STORY OF LOGISTICS SUPPORT OF ARMY FOLLOWING BREAKOUT FROM NORMANDY BEACHHEAD. ARMY PROVIDED MEN AND EQUIPMENT,
RENAISSANCE MAN,,APPROVED,1984,"REQUESTED EXTENSIVE USE OF MILITARY INSTALLATION, ASSETS, EXTRAS FOR THIS PENNY MARSHALL-DIRECTED FEATURE STARRING DANNY DEVITO. AFTER SUCCESSFUL SCRIPT NEGOTIATIONS, ACHIEVED OUTSTANDING REWRITE AND APPROVED FULL MILITARY ASSISTANCE.",
RETREADS,,DENIED,1988,DISAPPROVED BY BOTH THE AIR FORCE AND THE DEPARTMENT OF DEFENSE. THE REQUEST FOR VEHICLES WAS OF COURSE DENIED. NO RECORD OF FILM BEING MADE,
RETURN TO IWO JIMA,,APPROVED,1984,IN THE BEST INTEREST OF THE SERVICES. THE DOCUMENTARY WAS FACTUAL AND VERY POSITIVE FOR THE ARMED FORCES. REQUESTS WERE APPROVED.,
RIDE WITH THE DEVIL,,LIMITED,1999,"CIVIL WAR ERA PICTURE DEPICTED MILITIA TYPE WARFARE IN FAIRLY STRAIGHTFORWARD MANNER, TO BE CONSIDERED INFORMING ABOUT A LITTLE-KNOWN ASPECT OF US. MILITARY HISTORY. APPROVED USE OF FIELD SETTING AT FORT LEAVENWORTH FOR SEVERAL DAYS.",
ROBOCOP,,DENIED,1987,DOD FOUND NOTHING IN THE FILM BENEFICIAL TO THE DEPARTMENT. THEY FOUND THE FILM TO BE VIOLENT AND BLOODY. THE REQUEST FOR STOCK FOOTAGE WAS DENIED.,
ROBOT JOX,,APPROVED,,THE FILM WAS APPROVED AND STOCK FOOTAGE WAS FURNISHED — COMPANY CLAIMED THAT FOOTAGE IS NOT AVAILABLE THROUGH COMMERCIAL SOURCES. NO RECORD OF FILM BEING MADE.,
ROCKETS RED GLARE,,APPROVED,2000,"APPROVED FILMING AT VARIOUS SITES AT VANDENBERG AIR FORCE BASE, CA, FOR APPROXIMATELY ONE WEEK. INCLUDED AIR FORCE VEHICLES AND EXTRAS. ALTHOUGH MAIN CHARACTER IS A HIGH SCHOOL STUDENT, THERE IS AMPLE VERY POSITIVE AIR FORCE PRESENCE (FAMILY MEMBERS, ETC), AND VERY POSITIVE DEPICTION OF AIR FORCE INVOLVEMENT IN THE US SPACE PROGRAM.",
ROLLING THUNDER,,DENIED,1977,AIR FORCE REFUSED TO PROVIDE ASSISTANCE. CLAIMED NO POW HAD RETURNED FROM VIETNAM SCHIZOPHRENIC WHICH IS DESCRIPTION THEY PUT ON WILLIAM DEVANE. ALSO SHOWED UNFAITHFUL WIFE.,Y
RULES OF ENGAGEMENT ,,APPROVED,2000,DATE APPROXIMATED WHEN THIS PROJECT WAS RECEIVED AND SCRIPT REVIEW UNDERTAKEN,
"RUN DEEP, RUN SILENT",,APPROVED,1958,"NAVY PROVIDED FULL ASSISTANCE TO FILM WHICH MANY CONSIDER A CLASSIC SUBMARINE STORY. HELP INCLUDED SUBMARINE FOR EXTERIOR SHOTS AND PIECES OF EQUIPMENT TO CREATE INTERIORS. HOWEVER FILM IS FILLED WITH PROBLEMS INCLUDING SPRINGBOARD IN WHICH HERO'S SUBMARINE IS DESTROYED IN SOUTH CHINA SEA, FLOATS ON SURFACE, AND ENDS UP BACK IN HAWAII WITH NO EXPLANATION. ALSO CONFLICT BETWEEN CAPTAIN AND EXEC OFFICER. ALSO, MODEL OF SUBMARINE UNDER WATER HAS BUBBLES COMING FROM SCREW",
RUSSKIES,,APPROVED,1987,"PERMISSION FOR FLORIDA NATIONAL GUARD EQUIPMENT, INSTALLATION, AND  PERSONNEL GRANTED. ALTHOUGH IT HAD NOTHING TO DO WITH THE GUARD, DOD FELT IT WOULD BE GOOD COMMUNITY RELATIONS FOR THE GUARD. NO RECORD OF FILM BEING MADE.",Y
SAHARA,,APPROVED,1943,"CLASSIC EARLY WORLD WAR II WAR STORY EVEN THOUGH TOTAL FICTION. AMERICAN TANKS DID NOT FIGHT WITH BRITISH FORCES IN NORTH AFRICA IN EARLY DAYS OF WAR. HOWEVER, ARMY PROVIDED FULL COOPERATION AT DESERT TANK TRAINING FACILITY ON CALIFORNIA, NEVADA BORDER, INCLUDING USE OF AN OBSOLETE TRAINING TANK. AGAINST ARMY REGULATIONS, AN AMERICAN FIGHTER PLAYED A GERMAN FIGHTER AND 500 AMERICAN SOLDIERS DRESSED UP AS GERMANS IN CLIMACTIC BATTLE. BUT LONE AMERICAN, HUMPHREY BOGART, CAPTURED ALL THE ENEMY ALMOST SINGLE HANDEDLY WHICH WAS VERY POSITIVE PROPAGANDA FOR WAR EFFORT.",Y
SAIGON,,DENIED,,"THE FILM WAS DENIED BY THE ARMY. THEY FELT ITS DEPICTION OF CID OPERATIONS, ORGANIZATION, PERSONNEL AND THEIR ACTIVITIES WAS INACCURATE AND SENSATIONALIZED. NO RECORD OF FILM BEING MADE.",
SAN FRANCISCO,,APPROVED,1936,"INTERESTING STORY OF COOPERATION. DIRECTOR W.S VAN DYKE WAS A MARINE RESERVE OFFICER. NEEDED EXTRAS WHO COULD OBEY SPLIT SECOND ORDERS DURING CLIMATIC EARTHQUAKE AND OBTAINED PERMISSION TO USE ACTIVE DUTY MARINES IN SCENES OF DESTRUCTION, ETC",
SANDS OF IWO JIMA,,APPROVED,1949,CLASSIC MARINE FILM WHICH CREATED JOHN WAYNE'S IMAGE OF THE AMERICAN FIGHTING MAN. MARINES PROVIDED FULL COOPERATION AT CAMP PENDLETON TO RESTAGE ASSAULTS ON TARAWA AND IWO JIMA. ONLY PROBLEM RELATED TO SCENE IN WHICH JOHN WAYNE HITS ONE OF HIS MEN WITH RIFLE BUTT DURING TRAINING. TECHNICAL ADVISOR OBJECTED TO SCENE AND BUCKED IT UP TO COMMANDANT'S OFFICE WHICH CONFIRMED ORIGINAL APPROVAL. BUT SCENE TONED DOWN AND HUMORED UP. WAYNE DIES AFTER TEACHING THE NEXT GENERATION. FILM CREATED BY MARINES WITH AIDING RECRUITMENT,
"SATELLITE KILLER, THE",,APPROVED,,NO OBJECTIONS WERE INTERPOSED TO THE AIR FORCE. AS LONG AS THERE WERE NO ADDITIONAL. COSTS TO THE GOVERNMENT AND NO INTERFERENCE WITH TRAINING OR THE MISSION. NO RECORD OF FILM BEING MADE.,
SAVING PRIVATE RYAN,,OTHER,1998,ARMY OFFICE IN LA CRITIQUED SCRIPT AND POINTED OUT TECHNICAL ERRORS INCLUDING REALITY THAT THE PENTAGON COULD NOT HAVE LEARNED TWO DAYS AFTER D-DAY THAT TWO RYAN BROTHERS HAD DIED ON D'DAY. ARMY HAD NO EQUIPMENT DATING FROM WORLD WAR II. SPIELBERG USED IRISH ARMY FOR LANDINGS AND SUBSEQUENT SCENES SHOT IN ENGLAND,Y
SAYONARA,,APPROVED,1957,"AIR FORCE INITIALLY RELUCTANT TO PROVIDE ASSISTANCE BECAUSE OF INTERRACIAL DATING AND SUICIDE OF ONE OF ITS ENLISTED MEN. ULTIMATELY, PROVIDED PLANES AND EQUIPMENT",Y
SERGEANT YORK,,LIMITED,1941,CLASSIC PRE-WORLD WAR II PREPAREDNESS FILM ABOUT HERO OF WORLD WAR I. PRO-INTERVENTION PROPAGANDA. ARMY PROVIDED SOME HELP IN STAGING COMBAT SEQUENCES,
SEVEN DAYS IN MAY,,DENIED,1964,"THE PENTAGON DENIED ALL ASSISTANCE IN LIGHT OF STORY OF CHAIRMAN OF THE JOINT CHIEFS OF STAFF PLANNING A COUP BECAUSE PRESIDENT SIGNED A DISARMAMENT TREATY. HOWEVER, FILMMAKERS TALKED THEIR WAY ABOARD AN AIRCRAFT CARRIER IN SAN DIEGO TO OBTAIN SHOTS TO CREATE AMBIANCE OF CARRIER. PRODUCER ADMITTED BUT CLAIMED NAVY SHOULD HAVE INFORMED ALL SHIPS NOT TO LET HIM ABOARD AND SAID HE WAS ONLY HELPING DIRECTOR.",Y
SGT BILKO,,DENIED,1996,"NEVER RECEIVED FORMAL REQUEST. BUT SAAV PERSONALLY TOLD IMAGINE ENTERTAINMENT CO-OWNER BRIAN GLAZER ""HOPELESS"", AND OCPA-LA TOLD UNIVERSAL EXECUTIVE ANDY GIVEN AND IMAGINE ENTERTAINMENT EXECUTIVE THAT IT IS HOPELESS. COMPLETELY NEGATIVE, INACCURATE. IMPOSSIBLE TO ALTER BY ANY MEANS OTHER THAN TOTAL REWRITE AND COMPLETELY NEW FILM.",Y
"SHEPHERD, THE",,APPROVED,,DOD AND THE AIR FORCE FELT THE FILM WOULD BE POSITIVE FOR THEM BOTH. ALL REQUESTS WERE GRANTED. NO RECORD FILM WAS EVER MADE.,
SHINING THROUGH,,LIMITED,1992,THE DEPARTMENT AND THE AIR FORCE RELEASED SOME WWII STOCK FOOTAGE TO THE PRODUCTION FOR RELEASE,
SHIPMATES,,APPROVED,1931,"FIRST SOUND MOVIE MADE AT THE NAVAL ACADEMY. TYPICAL ROMANCE WITH SONGS. FULL COOPERATION WITH PARADES, CAMPUS, ETC",Y
SHIPMATES FOREVER,,APPROVED,1935,"ANOTHER IN SERIES OF NAVAL ACADEMY FILMS DURING THE 1935. SAME PARADES, SCENIC CAMPUS, ETC. POPULARITY PROBABLY AROSE FROM ESCAPISM DURING DEPRESSION",
SHOW OF FORCE,,LIMITED,1990,THE DEPARTMENT PROVIDED COURTESY ASSISTANCE TO THE PRODUCTION. THEY PROVIDED AUTHORIZATION FOR OFF-DUTY MARINES BEING USED IN AN OPENING PARADE SEQUENCE. THEY WERE ON LEAVE STATUS AND THE SCRIPT BROUGHT NO DISCREDIT TO THE CORPS.,
SLEEPLESS IN SEATTLE,,LIMITED,1993,"PRODUCTION COMPANY REQUESTED USE OF NAVY HANGAR IN WASHINGTON STATE, SEATTLE AREA, FOR USE AS A PRODUCTION FACILITY. CONSIDERING HANGAR WILL SOON BE TURNED OVER TO THE STATE, WE AGREED, ALTHOUGH THERE IS NO MILITARY THEME TO THE PICTURE AT ALL.",
"SOLDIER'S STORY, A",,APPROVED,1984,DOD FELT THIS FILM MIGHT GIVE THE AUDIENCE BACKGROUND AND INSIGHT ON THE BEGINNING OF INTEGRATION IN THE ARMED FORCES. REQUEST FOR FILMING ON FORT CHAFFEE PROVED TO BE BENEFICIAL TO DOD.,
SOUTH PACIFIC,,APPROVED,1958,"THE MARINES AND THE NAVY PROVIDED MEN AND EQUIPMENT FOR THE MUSICAL. BOTH SERVICES DID HAVE SOME PROBLEMS WITH THE STORY AND IMAGES, BUT OVERLOOKED THEM BECAUSE OF THE GENRE",Y
SOUTHERN COMFORT,,APPROVED,1981,"AFTER SOME HESITATION, THE LOUISIANA NATIONAL GUARD PROVIDED MEN AND A HELICOPTER FOR FILMING A NON-VIETNAM, VIETNAM STORY ABOUT A NATIONAL GUARD UNIT THAT GOES INTO THE BAYOUS FOR WEEKEND TRAINING AND ENCOUNTER CAJUN NATIVES. WHEN THE UNIT STEALS SOME CANOES, THE NATIVES START PICKING OFF THE NATIONAL GUARDSMEN. THE FILMMAKERS ACKNOWLEDGED THAT THE MOVIE WAS A PARABLE FOR VIETNAM",
STAR SPANGLED BANNER,,APPROVED,1917,"FILM WAS SHOT WITH FULL MARINE CORPS COOPERATION AT THE MARINE BARRACKS IN BREMERTON, WASHINGTON. THE MARINES PROVIDED THE LOCATION, MARINES AS EXTRAS, AND EQUIPMENT FOR A RITE OF PASSAGE STORY OF A HALF-ENGLISH, HALF-AMERICAN TEENAGER WHOSE MOTHER MARRIES A MARINE COLONEL AND HE COMES TO STAY, LEARNING ABOUT BOTH THE MARINES AND AMERICAN HISTORY. WHEN THE US. ENTERS WORLD WAR I, THE BOY PUTS THE UNION JACK AND STAR SPANGLED BANNER TOGETHER TO SYMBOLIZE THE NEW ALLIANCE",
STAR TREK IV,,APPROVED,1986,APPROVED US OF NAVY'S USS. RANGER. IN THE BEST INTEREST OF THE DEPARTMENT. NAVY HAD SOME CONCERN ABOUT ENTERPRISE CREW MEMBERS GETTING INTO SECURE LOCATIONS UNTIL REMINDED THAT A TRANSPORTER WOULD DELIVER CREW AND SO NOT BE A SECURITY VIOLATION,Y
STAR TREK: INSURRECTION,,LIMITED,1998,"PRODUCTION COMPANY REQUESTED USE OF INACTIVE TITAN MISSILE SILO (WITH MISSILE) UNDER CUSTODY OF PIMA AIR MUSEUM, ARIZONA. OTHER THAN ""USAF"" ON MISSILE, NO MILITARY DEPICTION.",
STARMAN,,DENIED,1984,"THERE WAS NOTHING OF POSITIVE NATURE FOR SERVICES, ESPECIALLY THE AIR FORCE. APPROVAL WAS DENIED. AS OFTEN THE CASE WITH SCI-FI PICTURES, THE MILITARY BECAME THE VILLAIN TRYING TO CAPTURE THE NICE ALIEN AND DISSECT HIM OR SOMETHING LIKE THAT.",Y
STEALTH,,DENIED,,"THE FILM WAS INACCURATE AND DAMAGING IN ITS PORTRAYAL OF AIR FORCE LIFE, OPERATIONS, AND POLICIES THE FILM ALSO HAD TOO MANY ERRORS TO CORRECT WITHOUT LOSING THE BASIC PREMISE. NO RECORD OF FILM BEING MADE",
STORY OF G.I. JOE,,APPROVED,1945,"MOVIE BASED ON WRITING OF ERNIE PYLE AND HIS COVERING OF THE ITALIAN CAMPAIGN. THE ARMY PROVIDED A UNIT TO SERVE AS EXTRAS AND EQUIPMENT DURING FILMING. AFTERWARDS, THE UNIT WENT TO THE PACIFIC AND SUFFERED SIGNIFICANT CASUALTIES. CONSIDERED ONE OF THE GREAT WAR MOVIES OF ALL TIME. ",
STRANGE INVADERS,,DENIED,1983,ASSISTANCE WAS DENIED BY THE DEPARTMENT AFTER BEING REVIEWED BY THE UNITED STATES AIR FORCE. A LOT OF FALSE AND INAPPROPRIATE INFORMATION ABOUT THE AIR FORCE WAS CONTAINED IN THE FILM.,
STRATEGIC AIR COMMAND,,APPROVED,1955,"CLASSIC COLD WAR MOVIE ABOUT THE STRATEGIC AIR COMMAND AND ITS MISSION. JIMMY STEWART PLAYS A BASEBALL PLAYER RECALLED TO ACTIVE DUTY TO FLY B-47'S. FILM MADE WITH ASSISTANCE OF CURTIS LEMAY AND THE AIR FORCE WHICH PROVIDED MEN, EQUIPMENT, AND MOST IMPORTANT, AIRPLANES INCLUDING THE NEWLY DELIVERED B-52. THE FILMMAKERS DESIRE TO FILM CLOSE ORDER TAKEOFFS CAUSED MAJOR DAMAGE TO THE JET ENGINES AS THE PLANES TAXIED IN CLOSE ORDER. HUNDREDS OF THOUSANDS OF DOLLARS HAD TO BE SPENT ON REPAIRS. NOT REIMBURSED. BUT GREAT BENEFIT TO SAC.",Y
STRIPES,,LIMITED,1970,"PATTON FAMILY OPPOSED PRODUCTION FOR YEARS. ULTIMATELY FRANK MCCARTHY, WHO HAD SERVED AS SECRETARY TO GENERAL GEORGE MARSHALL DURING WAR, PREVAILED ON ARMY TO GIVE BLESSINGS POINTING OUT HE ONLY WANTED TO PORTRAY PUBLIC LIFE OF PATTON WHICH WAS A MATTER OF PUBLIC RECORD. FAMILY APPARENTLY CONCERNED ABOUT PATTON'S RELATIONSHIP WITH HIS NIECE. ARMY ACTUALLY PROVIDED VERY LITTLE ASSISTANCE SINCE IT HAD NO WORLD WAR II EQUIPMENT LEFT. FILM ACTUALLY SHOT IN SPAIN WITH SPANISH EQUIPMENT.",Y
SUBMARINE,,APPROVED,1928,"THIS WAS FIRST MAJOR SUBMARINE MOVIE. REALLY ABOUT A NAVY DIVER WHO ULTIMATELY DIVES ON SUBMARINE SUNK IN AN ACCIDENT. DESPITE IMAGES OF ACCIDENT, SUFFOCATING SAILORS, AND AN UNFAITHFUL NAVY WIFE, THE NAVY PROVIDED A SUBMARINE, EQUIPMENT, AND NAVY MEN AND DIVERS.",
SUBMARINE COMMAND,,APPROVED,1951,"STORY STARTS AT END OF WORLD WAR II, BUT MOSTLY SET IN KOREAN THEATER EVEN THOUGH SUBMARINES ACTUALLY HAD VIRTUALLY NO ROLE IN WAR. HOWEVER, NAVY PROVIDED A SUBMARINE FOR EXTERIOR SHOTS",
SUBMARINE D-1 ,,APPROVED,1937,SUBMARINE DISASTER MOVIE WHICH SHOWED NAVY'S DEVELOPMENT OF MCCANN DIVING BELL TO RESCUE SAILORS FROM SUNKEN SUBMARINES. BECAME ALMOST PROPHETIC SINCE BELL WAS USED TO RESCUE MEN FROM THE SQUALUS. FILMING AT SUBMARINE BASE IN NEW LONDON.,
SUBMARINE PIRATE,,APPROVED,1915,"NAVY LOANED CHARLIE CHAPLIN'S BROTHER SYDNEY A SUBMARINE IN THE MAKING OF A SILLY COMEDY. HOWEVER, NAVY LIKED FILM SO MUCH, IT BOUGHT TWO COPIES TO USE AS A RECRUITING TOOL. APPROVED ASSISTANCE, DATE APPROXIMATE, NO FILE, FILM AT LIBRARY OF CONGRESS",
SUCH DREAMS I HAVE DREAMED,,DENIED,1990,NO BENEFIT TO THE DOD. THE FILM HAD AN INACCURATE PORTRAYAL OF US. AND OTHER COUNTRIES‘ POLICIES. THE REQUEST FOR STOCK FOOTAGE WAS DENIED,
SULLY,,APPROVED,2016,"USAF support to this project took place at Holloman AFB, NM, in December 2015. Support for this project was one full day of shooting F-4 Phantoms. The Phantoms that were shot were capable of being piloted remotely or with people, as they are actually used as aerial targets [REAL drones] but in this case they were shot while being manually piloted. Only a handful of Airmen were used as background extras. Director Clint Eastwood was present for the day of filming. The featured F-4 underwent an exterior paint job to reflect a historically-accurate paint scheme from the vietnam era. Aerial shots of two F-4s were also accomplished via a commercial learjet",Y
SUM OF ALL FEARS,"SUM OF ALL FEARS, THE",APPROVED,2002,"REQUESTED PERMISSION TO FILM THE NAOC AIRCRAFT IN FLIGHT DURING A ROUTINE REFUELING BY A KC-10 FOR AERIAL SEQUENCES; REQUESTED AIRFORCE FOR PERMISSION TO FILM B-2 AND F-16 AIRCRAFT WHILE IN FLIGHT, IN GROUND TAXI AND TAKE OFF ACTIVITIES AS WELL. IN ADDITION, PRODUCERS REQUESTED AND DOD APPROVED FILMING NEAR MONTREAL, CANADA WITH TWO MARINE CORPS CH-53 AND TWO ARMY CH-60 HELICOPTERS, ARMY DISASTER RELIEF EQUIPMENT, AS WELL AS MILITARY EXTRAS. THERE WAS A SECOND FILMING UNIT IN SAN DIEGO, CA THAT DID FILM ADDITIONAL MILITARY SEQUENCES AS WELL.",
SUMMER RENTAL,,DENIED,1985,DENIED: NOT IN THE BEST INTEREST OF THE DEPARTMENT.,Y (JOHN CANDY FIRST LEADING MOVIE)
"SWARM, THE",,APPROVED,1978,APPROVED AND FOUND TO BE MUTUALLY BENEFICIAL TO THE DEPARTMENT OF DEFENSE. THE USE OF HELICOPTERS WAS ALSO GRANTED.,
TAKE THE HIGH ROAD,,APPROVED,1953,"FILM ABOUT INFANTRY BASIC TRAINING AT FORT BLISS WITH FULL ARMY COOPERATION. ORIGINALLY WRITTEN ABOUT MARINE BASIC TRAINING AT PARRIS ISLAND, BUT MARINES REFUSED TO COOPERATE BECAUSE OF RECENT TRAINING ACCIDENTS. WENT ALL THE WAY TO COMMANDANT FOR FINAL DECISION",
TAKING CHANCE,,APPROVED,2009,"Very little actual production support - some minor equipment borrowed from the 512th Memorial Affairs Squadron, Dover AFB, DE. Mostly provided staffing services, obtaining approval for research at Dover, etc. This was a feature length picture produced by HBO, starring Kevin Bacon.",
TANK,,APPROVED,1984,"AFTER CONSIDERABLE DISCUSSIONS AND CHANGES IN SCRIPT, DOD FELT THE END RESULT WOULD BE BENEFICIAL FOR THE ARMY AND THE PRODUCTION.",
TANK GIRL,,DENIED,1995,"REQUESTED USE OF MISSILE SILO FOR NONMILITARY ""MAD MAX"" TYPE OF STORY — DID NOT MEET DOD CRITERIA FDR SUPPORT, NO FILE",
TAPS,FATHER SKY,APPROVED,1981,"APPROVED ASSISTANCE AFTER RESOLVING SEVERAL INACCURACIES IN THE FILM, AND AN EARLIER TURN DOWN BY THE DOD. REVISED SCRIPT ENDED UP WITH A FILM THAT WAS SUPPORTED BY THE DEPARTMENT AND THE NGB. POSITIVE IMPRESSION FOR THE NGB. PROVIDED GOOD IMPRESSION FOR THE MOVIEGOERS.",
TARGET UNKNOWN,,APPROVED,1951,"STORY OF AMERICAN FLIERS SHOT DOWN OVER OCCUPIED FRANCE, CAPTURED, INTERROGATED, AND ESCAPE TO SEND MESSAGE OF WHERE TO BOMB TO HIT GASOLINE TANKS BEFORE INVASION. ONLY FILM TO FEATURE B-26 BOMBERS IN WORLD WAR II ACTION",
TASK FORCE,,APPROVED,1949,"THE NAVY'S EPIC OF THE DEVELOPMENT OF AIRCRAFT CARRIER WARFARE, FROM THE ORIGINAL FLIGHTS OFF THE USS LANGLEY TO THE CREATION OF THE MODERN, POST-WWII 40,000 TON CARRIERS. GARY COOPER IS THE HERO WHO TAKES PART IN ALL DEVELOPMENTS. CLIMAX IS FICTIONALIZED ACCOUNT OF THE USS FRANKLIN'S SURVIVAL AS THE MOST DAMAGED SHIP IN WWII. SCRIPT ORIGINALLY WRITTEN AND APPROVED IN 1945. PROJECT IN LIMBO FOR THREE YEARS UNTIL STUDIO THOUGHT STORY COULD FIND MARKET. SPECTACULAR COMBAT SEQUENCES. SHIPBOARD SCENES SHOT DURING A CRUISE.",
TEARS OF THE SUN,HOSTILE RESCUE,APPROVED,2003,"AFTER LENGTHY SCRIPT NEGOTIATIONS — MOSTLY TO INCREASE MILITARY REALISM AMONG THE SEAL TEAM MEMBERS AND BETWEEN THE TEAM AND HIGHER AUTHORITY, AND ALSO TO PREVENT THE DEPICTION OF THE US GOVT AS COMPLICIT IN NASTY CONSPIRACIES OVERSEAS — APPROVED FILMING IN HAWAII WITH NAVY HELICOPTERS. ASSISTANCE ALSO INCLUDED FILMING A SEAL TEAM PARACHUTING (SOUTHERN CALIFORNIA) AND FILMING HELICOPTERS OPERATING ABOARD SHIP (WATERS NEAR SAN DIEGO).",
THE AGGRESSOR SQUADRON,,DENIED,,THE FILM DID NOT PRESENT AN ACCURATE OR FEASIBLE PORTRAYAL OF THE AIR FORCE. ASSISTANCE TO THE FILM WAS DENIED.,
THE CONCIERGE,,DENIED,1993,"BE IN BACKGROUND OF DIALOG SCENE — NO MILITARY CONNECTION + RIDICULOUS USE OF MILITARY DECLINED REQUEST TO USE NAT‘L GUARD ARMORY AND GUARD TANKS FOR AN ”AVANT GARDE"" FASHION SHOW TO BE IN BACKGROUND OF DIALOG SCENE-NO MILITARY.",
